"Did";"FName";"LName";"DOB";"Gender";"CityId";"BloodGp";"PhoneNo";"Remarks"
1;"Ayush";"Dewan";"2000-08-27";"Male";1;"A+";"9816495426";"no"
2;"Shreya";"Sharma";"2000-07-25";"Female";2;"B+";"9267562993";"high BP"
3;"Likith ";"Ashwin";"2001-12-12";"Male";1;"O+";"9764315824";"high BP"
4;"Gowtham";"Rajupeta";"2000-01-06";"Male";4;"AB+";"8884455761";"dibetics"
5;"Sakshi";"Narayan";"1992-06-11";"Female";1;"A-";"9874515712";"high BP"
6;"gowtham";"V";"1997-01-28";"Male";3;"O+";"9874442483";"no"
7;"Likith ";"M";"1999-02-26";"Male";3;"A-";"9874522283";"no"
8;"Anubhav ";"Yadav";"2000-01-06";"Male";2;"A-";"9845621521";"no"
9;"Aaishni";"Patel";"2000-09-22";"Female";4;"B+";"9874564422";"low BP"
10;"Ruthvik";"Guru";"2000-07-25";"Male";2;"AB-";"9874562483";"no"
